dep;jour;pop;P;cl_age90
01;2020-06-15;26830;0;89
01;2020-06-15;7395;0;90
01;2020-06-15;656955;0;0
01;2020-06-16;83001;0;09
01;2020-06-16;84665;1;19
01;2020-06-16;65496;1;29
01;2020-06-16;85588;0;39
01;2020-06-16;89678;0;49
01;2020-06-16;89791;0;59
01;2020-06-16;73500;0;69
01;2020-06-16;51011;0;79
01;2020-06-16;26830;1;89
01;2020-06-16;7395;0;90
01;2020-06-16;656955;3;0
01;2020-06-17;83001;0;09
01;2020-06-17;84665;0;19
01;2020-06-17;65496;0;29
01;2020-06-17;85588;2;39
01;2020-06-17;89678;1;49
01;2020-06-17;89791;0;59
01;2020-06-17;73500;0;69
01;2020-06-17;51011;0;79
01;2020-06-17;26830;0;89
01;2020-06-17;7395;2;90
01;2020-06-17;656955;5;0
01;2020-06-18;83001;1;09
01;2020-06-18;84665;0;19
01;2020-06-18;65496;1;29
01;2020-06-18;85588;2;39
01;2020-06-18;89678;0;49
01;2020-06-18;89791;0;59
01;2020-06-18;73500;0;69
01;2020-06-18;51011;0;79
01;2020-06-18;26830;0;89
01;2020-06-18;7395;0;90
01;2020-06-18;656955;4;0
01;2020-06-19;83001;0;09
01;2020-06-19;84665;0;19
01;2020-06-19;65496;0;29
01;2020-06-19;85588;1;39
01;2020-06-19;89678;0;49
01;2020-06-19;89791;0;59
01;2020-06-19;73500;1;69
01;2020-06-19;51011;0;79
01;2020-06-19;26830;1;89
01;2020-06-19;7395;0;90
01;2020-06-19;656955;3;0
01;2020-06-20;83001;0;09
01;2020-06-20;84665;0;19
01;2020-06-20;65496;0;29
01;2020-06-20;85588;0;39
01;2020-06-20;89678;1;49
01;2020-06-20;89791;1;59
01;2020-06-20;73500;0;69
01;2020-06-20;51011;1;79
01;2020-06-20;26830;0;89
01;2020-06-20;7395;0;90
01;2020-06-20;656955;3;0
01;2020-06-21;83001;0;09
01;2020-06-21;84665;0;19
01;2020-06-21;65496;0;29
01;2020-06-21;85588;0;39
01;2020-06-21;89678;0;49
01;2020-06-21;89791;0;59
01;2020-06-21;73500;0;69
01;2020-06-21;51011;0;79
01;2020-06-21;26830;0;89
01;2020-06-21;7395;0;90
01;2020-06-21;656955;0;0
01;2020-06-22;83001;0;09
01;2020-06-22;84665;2;19
01;2020-06-22;65496;0;29
01;2020-06-22;85588;0;39
01;2020-06-22;89678;1;49
01;2020-06-22;89791;1;59
01;2020-06-22;73500;0;69
01;2020-06-22;51011;0;79
01;2020-06-22;26830;1;89
01;2020-06-22;7395;0;90
01;2020-06-22;656955;5;0
01;2020-06-23;83001;1;09
01;2020-06-23;84665;1;19
01;2020-06-23;65496;3;29
01;2020-06-23;85588;0;39
01;2020-06-23;89678;0;49
01;2020-06-23;89791;2;59
01;2020-06-23;73500;0;69
01;2020-06-23;51011;1;79
01;2020-06-23;26830;2;89
01;2020-06-23;7395;0;90
01;2020-06-23;656955;10;0
01;2020-06-24;83001;0;09
01;2020-06-24;84665;0;19
01;2020-06-24;65496;1;29
01;2020-06-24;85588;0;39
01;2020-06-24;89678;1;49
01;2020-06-24;89791;0;59
01;2020-06-24;73500;0;69
01;2020-06-24;51011;0;79
01;2020-06-24;26830;0;89
01;2020-06-24;7395;0;90
01;2020-06-24;656955;2;0
01;2020-06-25;83001;0;09
01;2020-06-25;84665;0;19
01;2020-06-25;65496;3;29
01;2020-06-25;85588;0;39
01;2020-06-25;89678;0;49
01;2020-06-25;89791;0;59
01;2020-06-25;73500;0;69
01;2020-06-25;51011;1;79
01;2020-06-25;26830;1;89
01;2020-06-25;7395;0;90
01;2020-06-25;656955;5;0
01;2020-06-26;83001;0;09
01;2020-06-26;84665;3;19
01;2020-06-26;65496;0;29
01;2020-06-26;85588;1;39
01;2020-06-26;89678;2;49
01;2020-06-26;89791;1;59
01;2020-06-26;73500;0;69
01;2020-06-26;51011;0;79
01;2020-06-26;26830;0;89
01;2020-06-26;7395;1;90
01;2020-06-26;656955;8;0
01;2020-06-27;83001;1;09
01;2020-06-27;84665;0;19
01;2020-06-27;65496;0;29
01;2020-06-27;85588;0;39
01;2020-06-27;89678;2;49
01;2020-06-27;89791;2;59
01;2020-06-27;73500;1;69
01;2020-06-27;51011;0;79
01;2020-06-27;26830;0;89
01;2020-06-27;7395;0;90
01;2020-06-27;656955;6;0
01;2020-06-28;83001;0;09
01;2020-06-28;84665;0;19
01;2020-06-28;65496;0;29
01;2020-06-28;85588;0;39
01;2020-06-28;89678;0;49
01;2020-06-28;89791;0;59
01;2020-06-28;73500;0;69
01;2020-06-28;51011;0;79
01;2020-06-28;26830;0;89
01;2020-06-28;7395;0;90
01;2020-06-28;656955;0;0
01;2020-06-29;83001;1;09
01;2020-06-29;84665;1;19
01;2020-06-29;65496;0;29
01;2020-06-29;85588;3;39
01;2020-06-29;89678;0;49
01;2020-06-29;89791;0;59
01;2020-06-29;73500;1;69
01;2020-06-29;51011;0;79
01;2020-06-29;26830;0;89
01;2020-06-29;7395;0;90
01;2020-06-29;656955;6;0
01;2020-06-30;83001;0;09
01;2020-06-30;84665;2;19
01;2020-06-30;65496;1;29
01;2020-06-30;85588;2;39
01;2020-06-30;89678;1;49
01;2020-06-30;89791;1;59
01;2020-06-30;73500;0;69
01;2020-06-30;51011;0;79
01;2020-06-30;26830;0;89
01;2020-06-30;7395;0;90
01;2020-06-30;656955;8;0
01;2020-07-01;83001;0;09
01;2020-07-01;84665;1;19
01;2020-07-01;65496;0;29
01;2020-07-01;85588;0;39
01;2020-07-01;89678;1;49
01;2020-07-01;89791;0;59
01;2020-07-01;73500;0;69
01;2020-07-01;51011;0;79
01;2020-07-01;26830;1;89
01;2020-07-01;7395;0;90
01;2020-07-01;656955;3;0
01;2020-07-02;83001;0;09
01;2020-07-02;84665;0;19
01;2020-07-02;65496;0;29
01;2020-07-02;85588;0;39
01;2020-07-02;89678;0;49
01;2020-07-02;89791;0;59
01;2020-07-02;73500;0;69
01;2020-07-02;51011;0;79
01;2020-07-02;26830;0;89
01;2020-07-02;7395;0;90
01;2020-07-02;656955;0;0
01;2020-07-03;83001;1;09
01;2020-07-03;84665;0;19
01;2020-07-03;65496;0;29
01;2020-07-03;85588;0;39
01;2020-07-03;89678;0;49
01;2020-07-03;89791;1;59
01;2020-07-03;73500;0;69
01;2020-07-03;51011;0;79
01;2020-07-03;26830;0;89
01;2020-07-03;7395;1;90
01;2020-07-03;656955;3;0
01;2020-07-04;83001;0;09
01;2020-07-04;84665;0;19
01;2020-07-04;65496;0;29
01;2020-07-04;85588;1;39
01;2020-07-04;89678;0;49
01;2020-07-04;89791;0;59
01;2020-07-04;73500;0;69
01;2020-07-04;51011;0;79
01;2020-07-04;26830;0;89
01;2020-07-04;7395;0;90
01;2020-07-04;656955;1;0
01;2020-07-05;83001;0;09
01;2020-07-05;84665;0;19
01;2020-07-05;65496;0;29
01;2020-07-05;85588;0;39
01;2020-07-05;89678;0;49
01;2020-07-05;89791;0;59
01;2020-07-05;73500;0;69
01;2020-07-05;51011;0;79
01;2020-07-05;26830;0;89
01;2020-07-05;7395;0;90
01;2020-07-05;656955;0;0
01;2020-07-06;83001;0;09
01;2020-07-06;84665;1;19
01;2020-07-06;65496;0;29
01;2020-07-06;85588;0;39
01;2020-07-06;89678;0;49
01;2020-07-06;89791;0;59
01;2020-07-06;73500;0;69
01;2020-07-06;51011;0;79
01;2020-07-06;26830;1;89
01;2020-07-06;7395;0;90
01;2020-07-06;656955;2;0
01;2020-07-07;83001;1;09
01;2020-07-07;84665;1;19
01;2020-07-07;65496;2;29
01;2020-07-07;85588;0;39
01;2020-07-07;89678;0;49
01;2020-07-07;89791;0;59
01;2020-07-07;73500;1;69
01;2020-07-07;51011;0;79
01;2020-07-07;26830;0;89
01;2020-07-07;7395;0;90
01;2020-07-07;656955;5;0
01;2020-07-08;83001;0;09
01;2020-07-08;84665;0;19
01;2020-07-08;65496;0;29
01;2020-07-08;85588;0;39
01;2020-07-08;89678;2;49
01;2020-07-08;89791;0;59
01;2020-07-08;73500;0;69
01;2020-07-08;51011;1;79
01;2020-07-08;26830;0;89
01;2020-07-08;7395;0;90
01;2020-07-08;656955;3;0
01;2020-07-09;83001;0;09
01;2020-07-09;84665;0;19
01;2020-07-09;65496;1;29
01;2020-07-09;85588;1;39
01;2020-07-09;89678;0;49
01;2020-07-09;89791;1;59
01;2020-07-09;73500;0;69
01;2020-07-09;51011;0;79
01;2020-07-09;26830;0;89
01;2020-07-09;7395;0;90
01;2020-07-09;656955;3;0
01;2020-07-10;83001;0;09
01;2020-07-10;84665;0;19
01;2020-07-10;65496;1;29
01;2020-07-10;85588;1;39
01;2020-07-10;89678;0;49
01;2020-07-10;89791;0;59
01;2020-07-10;73500;1;69
01;2020-07-10;51011;0;79
01;2020-07-10;26830;0;89
01;2020-07-10;7395;0;90
01;2020-07-10;656955;3;0
01;2020-07-11;83001;0;09
01;2020-07-11;84665;0;19
01;2020-07-11;65496;0;29
01;2020-07-11;85588;0;39
01;2020-07-11;89678;0;49
01;2020-07-11;89791;0;59
01;2020-07-11;73500;0;69
01;2020-07-11;51011;0;79
01;2020-07-11;26830;0;89
01;2020-07-11;7395;0;90
01;2020-07-11;656955;0;0
01;2020-07-12;83001;0;09
01;2020-07-12;84665;0;19
01;2020-07-12;65496;0;29
01;2020-07-12;85588;0;39
01;2020-07-12;89678;0;49
01;2020-07-12;89791;0;59
01;2020-07-12;73500;0;69
01;2020-07-12;51011;0;79
01;2020-07-12;26830;1;89
01;2020-07-12;7395;0;90
01;2020-07-12;656955;1;0
01;2020-07-13;83001;0;09
01;2020-07-13;84665;0;19
01;2020-07-13;65496;0;29
01;2020-07-13;85588;0;39
01;2020-07-13;89678;0;49
01;2020-07-13;89791;0;59
01;2020-07-13;73500;0;69
01;2020-07-13;51011;0;79
01;2020-07-13;26830;0;89
01;2020-07-13;7395;0;90
01;2020-07-13;656955;0;0
01;2020-07-14;83001;0;09
01;2020-07-14;84665;0;19
01;2020-07-14;65496;0;29
01;2020-07-14;85588;0;39
01;2020-07-14;89678;0;49
01;2020-07-14;89791;0;59
01;2020-07-14;73500;0;69
01;2020-07-14;51011;0;79
01;2020-07-14;26830;0;89
01;2020-07-14;7395;0;90
01;2020-07-14;656955;0;0
01;2020-07-15;83001;0;09
01;2020-07-15;84665;1;19
01;2020-07-15;65496;0;29
01;2020-07-15;85588;1;39
01;2020-07-15;89678;1;49
01;2020-07-15;89791;0;59
01;2020-07-15;73500;0;69
01;2020-07-15;51011;0;79
01;2020-07-15;26830;0;89
01;2020-07-15;7395;0;90
01;2020-07-15;656955;3;0
01;2020-07-16;83001;0;09
01;2020-07-16;84665;0;19
01;2020-07-16;65496;0;29
01;2020-07-16;85588;0;39
01;2020-07-16;89678;0;49
01;2020-07-16;89791;0;59
01;2020-07-16;73500;0;69
01;2020-07-16;51011;0;79
01;2020-07-16;26830;0;89
01;2020-07-16;7395;0;90
01;2020-07-16;656955;0;0
01;2020-07-17;83001;0;09
01;2020-07-17;84665;0;19
01;2020-07-17;65496;0;29
01;2020-07-17;85588;2;39
01;2020-07-17;89678;0;49
01;2020-07-17;89791;1;59
01;2020-07-17;73500;2;69
01;2020-07-17;51011;0;79
01;2020-07-17;26830;1;89
01;2020-07-17;7395;0;90
01;2020-07-17;656955;6;0
01;2020-07-18;83001;0;09
01;2020-07-18;84665;0;19
01;2020-07-18;65496;0;29
01;2020-07-18;85588;1;39
01;2020-07-18;89678;2;49
01;2020-07-18;89791;0;59
01;2020-07-18;73500;0;69
01;2020-07-18;51011;0;79
01;2020-07-18;26830;1;89
01;2020-07-18;7395;0;90
01;2020-07-18;656955;4;0
01;2020-07-19;83001;0;09
01;2020-07-19;84665;0;19
01;2020-07-19;65496;0;29
01;2020-07-19;85588;0;39
01;2020-07-19;89678;0;49
01;2020-07-19;89791;0;59
01;2020-07-19;73500;0;69
01;2020-07-19;51011;0;79
01;2020-07-19;26830;0;89
01;2020-07-19;7395;0;90
01;2020-07-19;656955;0;0
01;2020-07-20;83001;0;09
01;2020-07-20;84665;0;19
01;2020-07-20;65496;0;29
01;2020-07-20;85588;0;39
01;2020-07-20;89678;0;49
01;2020-07-20;89791;1;59
01;2020-07-20;73500;1;69
01;2020-07-20;51011;1;79
01;2020-07-20;26830;0;89
01;2020-07-20;7395;0;90
01;2020-07-20;656955;3;0
01;2020-07-21;83001;0;09
01;2020-07-21;84665;0;19
01;2020-07-21;65496;5;29
01;2020-07-21;85588;2;39
01;2020-07-21;89678;1;49
01;2020-07-21;89791;1;59
01;2020-07-21;73500;0;69
01;2020-07-21;51011;0;79
01;2020-07-21;26830;1;89
01;2020-07-21;7395;0;90
01;2020-07-21;656955;10;0
01;2020-07-22;83001;0;09
01;2020-07-22;84665;0;19
01;2020-07-22;65496;2;29
01;2020-07-22;85588;2;39
01;2020-07-22;89678;1;49
01;2020-07-22;89791;0;59
01;2020-07-22;73500;0;69
01;2020-07-22;51011;0;79
01;2020-07-22;26830;0;89
01;2020-07-22;7395;0;90
01;2020-07-22;656955;5;0
01;2020-07-23;83001;0;09
01;2020-07-23;84665;0;19
01;2020-07-23;65496;0;29
01;2020-07-23;85588;4;39
01;2020-07-23;89678;2;49
01;2020-07-23;89791;0;59
01;2020-07-23;73500;0;69
01;2020-07-23;51011;0;79
01;2020-07-23;26830;0;89
01;2020-07-23;7395;0;90
01;2020-07-23;656955;6;0
01;2020-07-24;83001;0;09
01;2020-07-24;84665;2;19
01;2020-07-24;65496;5;29
01;2020-07-24;85588;2;39
01;2020-07-24;89678;3;49
01;2020-07-24;89791;3;59
01;2020-07-24;73500;4;69
01;2020-07-24;51011;1;79
01;2020-07-24;26830;0;89
01;2020-07-24;7395;1;90
01;2020-07-24;656955;21;0
01;2020-07-25;83001;0;09
01;2020-07-25;84665;0;19
01;2020-07-25;65496;1;29
01;2020-07-25;85588;0;39
01;2020-07-25;89678;0;49
01;2020-07-25;89791;1;59
01;2020-07-25;73500;0;69
01;2020-07-25;51011;0;79
01;2020-07-25;26830;0;89
01;2020-07-25;7395;0;90
01;2020-07-25;656955;2;0
01;2020-07-26;83001;0;09
01;2020-07-26;84665;0;19
01;2020-07-26;65496;1;29
01;2020-07-26;85588;1;39
01;2020-07-26;89678;0;49
01;2020-07-26;89791;0;59
01;2020-07-26;73500;0;69
01;2020-07-26;51011;0;79
01;2020-07-26;26830;0;89
01;2020-07-26;7395;0;90
01;2020-07-26;656955;2;0
01;2020-07-27;83001;1;09
01;2020-07-27;84665;1;19
01;2020-07-27;65496;2;29
01;2020-07-27;85588;4;39
01;2020-07-27;89678;2;49
01;2020-07-27;89791;3;59
01;2020-07-27;73500;0;69
01;2020-07-27;51011;0;79
01;2020-07-27;26830;0;89
01;2020-07-27;7395;0;90
01;2020-07-27;656955;13;0
01;2020-07-28;83001;1;09
01;2020-07-28;84665;0;19
01;2020-07-28;65496;4;29
01;2020-07-28;85588;2;39
01;2020-07-28;89678;0;49
01;2020-07-28;89791;0;59
01;2020-07-28;73500;1;69
01;2020-07-28;51011;2;79
01;2020-07-28;26830;0;89
01;2020-07-28;7395;0;90
01;2020-07-28;656955;10;0
01;2020-07-29;83001;0;09
01;2020-07-29;84665;0;19
01;2020-07-29;65496;2;29
01;2020-07-29;85588;4;39
01;2020-07-29;89678;0;49
01;2020-07-29;89791;1;59
01;2020-07-29;73500;0;69
01;2020-07-29;51011;0;79
01;2020-07-29;26830;0;89
01;2020-07-29;7395;0;90
01;2020-07-29;656955;7;0
01;2020-07-30;83001;2;09
01;2020-07-30;84665;1;19
01;2020-07-30;65496;2;29
01;2020-07-30;85588;2;39
01;2020-07-30;89678;4;49
01;2020-07-30;89791;3;59
01;2020-07-30;73500;1;69
01;2020-07-30;51011;2;79
01;2020-07-30;26830;0;89
01;2020-07-30;7395;0;90
01;2020-07-30;656955;17;0
01;2020-07-31;83001;1;09
